# num_vertices: 51842
# num_edges: 426124
# min_x: -71.6522
# min_y: -122.577
# min_z: -30.2009
# Offset added
# min_x: 0
# min_y: 0
# min_z: 0
# min vertex degree: 6
# max vertex degree: 1246
# Vertices: 51842
# Add offset (x y z) to get original positions: (-71.652210 -122.577140 -30.200880)
# Position (x y z)	Area
10.508610 61.644780 57.470790 	lh.bankssts
8.031700 63.153900 57.506250 	lh.bankssts
11.039650 62.450360 56.001400 	lh.bankssts
9.570860 63.587890 55.749960 	lh.bankssts
6.491290 65.655770 55.927900 	lh.middletemporal
12.464880 62.453230 55.299180 	lh.bankssts
12.937320 63.998640 54.397840 	lh.bankssts
10.005680 64.815270 55.193570 	lh.bankssts
14.756410 66.288190 54.215000 	lh.bankssts
11.946910 65.224240 54.543540 	lh.bankssts
12.788560 71.425250 53.223420 	lh.bankssts
14.365280 71.299710 53.698810 	lh.bankssts
4.477290 65.724310 57.075560 	lh.bankssts
3.672510 65.163830 59.925650 	lh.superiortemporal
12.281680 66.762370 54.999100 	lh.bankssts
9.100980 66.147240 55.272380 	lh.bankssts
18.484830 66.989330 53.286670 	lh.bankssts
22.286420 49.752820 55.356130 	lh.middletemporal
21.351360 72.564950 69.375220 	lh.superiortemporal
26.164890 74.884740 69.806520 	lh.supramarginal
6.746280 74.261690 66.501560 	lh.superiortemporal
8.568460 78.830140 68.386990 	lh.superiortemporal
13.799020 81.474570 60.153770 	lh.superiortemporal
9.730340 79.754170 67.872160 	lh.superiortemporal
9.710180 80.944960 67.354970 	lh.superiortemporal
7.764260 82.381660 67.236930 	lh.superiortemporal
9.595080 83.636900 64.921680 	lh.superiortemporal
17.091520 85.502520 60.122670 	lh.superiortemporal
19.256460 84.509180 59.730430 	lh.transversetemporal
17.490800 85.883560 60.220380 	lh.transversetemporal
14.529210 89.409220 59.598770 	lh.transversetemporal
7.608390 66.642050 55.150610 	lh.middletemporal
3.312330 66.563570 57.344380 	lh.bankssts
5.379720 66.463630 55.715650 	lh.middletemporal
2.896460 67.442140 56.372660 	lh.bankssts
2.749610 66.257070 59.136810 	lh.superiortemporal
17.976080 68.149860 54.010890 	lh.bankssts
11.832710 71.575350 52.032540 	lh.middletemporal
17.641630 72.628060 53.084940 	lh.bankssts
17.808190 73.955250 52.224070 	lh.bankssts
10.506140 62.012430 36.028160 	lh.inferiortemporal
8.122610 63.504930 35.390200 	lh.inferiortemporal
6.543620 69.581420 38.778170 	lh.inferiortemporal
6.202700 69.129490 39.799090 	lh.inferiortemporal
20.011450 70.675120 31.186660 	lh.inferiortemporal
7.856390 72.369100 36.206830 	lh.inferiortemporal
12.755150 79.211290 21.809100 	lh.inferiortemporal
10.711480 78.467510 47.033970 	lh.middletemporal
2.185240 80.784860 27.227530 	lh.middletemporal
26.587800 73.413160 67.213800 	lh.superiortemporal
26.989420 74.885630 66.767610 	lh.superiortemporal
17.242550 77.522040 48.702900 	lh.superiortemporal
23.875020 79.870320 58.937480 	lh.superiortemporal
14.583380 83.118060 42.073020 	lh.superiortemporal
26.303080 77.586800 63.078790 	lh.transversetemporal
23.518670 80.002180 60.885520 	lh.transversetemporal
26.278830 77.567190 62.212650 	lh.transversetemporal
17.382690 71.480450 53.535860 	lh.bankssts
8.920070 68.729040 54.252420 	lh.bankssts
3.647310 68.648660 54.840520 	lh.bankssts
1.907940 68.630990 56.526900 	lh.superiortemporal
18.580380 69.268750 53.952530 	lh.bankssts
15.560620 72.200190 53.224220 	lh.bankssts
18.569340 72.332300 52.870500 	lh.bankssts
19.047690 73.285720 52.039040 	lh.bankssts
18.420960 71.757690 53.294900 	lh.bankssts
15.485640 73.880940 52.273160 	lh.middletemporal
9.321510 78.564980 47.795270 	lh.middletemporal
7.856210 79.232060 47.488400 	lh.middletemporal
7.477840 68.340050 54.221610 	lh.bankssts
5.947680 69.399530 53.735610 	lh.bankssts
4.966660 68.510480 54.452340 	lh.bankssts
6.379980 71.081580 52.873670 	lh.bankssts
2.659830 69.837510 54.994770 	lh.bankssts
24.702390 55.369340 41.558640 	lh.fusiform
27.026590 59.397360 40.109820 	lh.fusiform
26.654530 45.403290 59.065630 	lh.inferiorparietal
23.211770 54.443570 42.271180 	lh.inferiortemporal
25.008190 56.622500 40.381590 	lh.inferiortemporal
22.046260 60.778910 36.622740 	lh.inferiortemporal
14.488980 77.093670 24.321130 	lh.inferiortemporal
14.736680 88.651600 25.895490 	lh.inferiortemporal
3.478510 80.500790 26.656420 	lh.middletemporal
13.534260 87.623530 26.711220 	lh.middletemporal
13.847120 87.955690 26.875680 	lh.middletemporal
41.283800 69.434930 47.390150 	lh.parahippocampal
38.098080 73.230620 44.867600 	lh.parahippocampal
17.457110 77.910100 45.394830 	lh.superiortemporal
22.617920 76.937750 68.198470 	lh.superiortemporal
24.506660 78.043830 65.689530 	lh.superiortemporal
23.895420 78.743160 65.023150 	lh.superiortemporal
17.615610 80.791940 65.507230 	lh.superiortemporal
23.245920 80.573980 59.427920 	lh.superiortemporal
14.570560 70.760160 71.990890 	lh.supramarginal
25.632750 75.822580 70.685200 	lh.supramarginal
23.572540 75.184760 70.667190 	lh.supramarginal
12.829480 74.571850 52.279540 	lh.middletemporal
23.017330 80.125830 63.089860 	lh.superiortemporal
15.758140 70.463150 54.391880 	lh.bankssts
4.666270 76.100210 26.236710 	lh.inferiortemporal
15.112710 76.551930 25.213290 	lh.inferiortemporal
7.444310 76.272170 20.774920 	lh.inferiortemporal
10.496770 79.133900 17.167130 	lh.inferiortemporal
10.492190 79.765280 15.689580 	lh.inferiortemporal
15.441690 82.934990 31.020030 	lh.inferiortemporal
17.624070 77.219330 48.879150 	lh.middletemporal
16.404300 77.498560 49.014290 	lh.middletemporal
4.954980 74.345800 30.322980 	lh.middletemporal
17.288150 76.724840 50.016890 	lh.middletemporal
8.193240 78.081320 29.365480 	lh.middletemporal
16.338700 83.826820 30.869190 	lh.middletemporal
32.547350 113.517090 75.723990 	lh.parsopercularis
31.535010 114.587920 75.917560 	lh.parsopercularis
11.448350 80.605500 69.607470 	lh.postcentral
18.008290 80.779510 66.972800 	lh.postcentral
15.025270 82.138810 68.285870 	lh.postcentral
14.143410 83.072490 67.773780 	lh.postcentral
14.738790 84.797970 65.918860 	lh.postcentral
11.990650 85.388420 66.276680 	lh.postcentral
13.581740 85.551520 65.085340 	lh.postcentral
30.769560 113.039290 75.885620 	lh.precentral
28.314310 111.698870 80.960280 	lh.precentral
16.728080 79.387360 67.815490 	lh.superiortemporal
15.600910 79.694700 67.162320 	lh.superiortemporal
16.489680 80.956450 65.067640 	lh.superiortemporal
6.467910 79.698870 68.307470 	lh.superiortemporal
13.920830 81.140020 64.683200 	lh.superiortemporal
11.130010 81.097650 66.401020 	lh.superiortemporal
12.795320 81.898850 63.991750 	lh.superiortemporal
6.807200 81.109520 67.948910 	lh.superiortemporal
5.566040 81.849020 67.322010 	lh.superiortemporal
8.944240 82.296030 66.981590 	lh.superiortemporal
22.110830 82.185190 58.024730 	lh.superiortemporal
28.125790 84.630060 49.269060 	lh.superiortemporal
18.857180 84.128140 59.632720 	lh.superiortemporal
28.725350 87.445370 56.393710 	lh.transversetemporal
28.075350 88.172540 58.020130 	lh.transversetemporal
24.580290 89.096150 61.864400 	lh.transversetemporal
27.342200 89.387150 57.937730 	lh.transversetemporal
22.189790 89.252900 62.070180 	lh.transversetemporal
25.596150 89.487380 60.902260 	lh.transversetemporal
12.300540 71.658190 53.279050 	lh.bankssts
5.403930 76.101780 51.579880 	lh.bankssts
8.466950 71.276060 52.657450 	lh.bankssts
2.671840 71.666180 54.584230 	lh.bankssts
18.927160 74.202100 51.384750 	lh.bankssts
15.130770 71.802930 53.823750 	lh.bankssts
2.931480 77.852210 56.268670 	lh.superiortemporal
3.909390 72.948340 53.618560 	lh.bankssts
1.706700 72.554910 55.611180 	lh.superiortemporal
5.649020 72.663530 52.779070 	lh.bankssts
3.791290 74.451910 54.172120 	lh.bankssts
8.876840 76.794930 20.758810 	lh.inferiortemporal
11.697800 82.577910 58.993440 	lh.superiortemporal
8.649390 73.153590 52.233730 	lh.bankssts
6.894930 74.117080 52.344040 	lh.bankssts
8.340530 68.734900 48.110680 	lh.middletemporal
17.691420 75.145860 51.242100 	lh.middletemporal
1.994780 75.879700 42.311140 	lh.middletemporal
16.551350 75.057290 51.610690 	lh.bankssts
15.843130 76.572310 50.444340 	lh.middletemporal
19.484290 76.031230 49.543650 	lh.bankssts
9.167510 82.170330 16.119760 	lh.inferiortemporal
16.205630 72.752930 53.313150 	lh.bankssts
13.999260 73.662260 52.737250 	lh.bankssts
3.527770 76.225740 55.035110 	lh.bankssts
10.560830 78.343790 76.041500 	lh.postcentral
2.194340 80.357930 62.472260 	lh.superiortemporal
11.336100 72.656500 52.621630 	lh.bankssts
4.226350 75.544620 53.796840 	lh.bankssts
6.801450 77.785670 49.519110 	lh.middletemporal
9.747450 73.420950 52.349960 	lh.bankssts
11.646380 74.133930 52.347240 	lh.bankssts
19.633020 75.963420 49.606860 	lh.bankssts
18.202980 76.382740 49.940610 	lh.middletemporal
2.493650 74.183750 55.304980 	lh.bankssts
2.758510 75.097320 56.037630 	lh.superiortemporal
43.319030 66.432740 48.943210 	lh.parahippocampal
22.845850 77.389520 89.708110 	lh.postcentral
25.338880 73.921290 69.546020 	lh.supramarginal
15.410770 73.832910 52.723940 	lh.bankssts
10.058780 74.898370 52.075620 	lh.bankssts
6.591400 75.517190 51.837120 	lh.bankssts
19.676920 71.634570 31.086910 	lh.inferiortemporal
13.538520 78.589640 44.337180 	lh.middletemporal
13.455270 76.116570 50.983540 	lh.bankssts
4.403920 76.079180 52.550990 	lh.bankssts
13.764590 74.633180 51.896810 	lh.middletemporal
14.468100 76.880430 50.193440 	lh.middletemporal
11.640940 76.551700 50.645480 	lh.middletemporal
18.594400 74.581500 51.548520 	lh.bankssts
16.194000 74.664880 52.093970 	lh.middletemporal
61.202560 77.038580 49.668280 	lh.parahippocampal
10.712250 78.200280 76.053610 	lh.postcentral
29.797240 68.478130 67.035820 	lh.superiortemporal
31.032450 69.369760 65.992330 	lh.superiortemporal
31.073450 68.327080 66.692610 	lh.supramarginal
18.688450 77.400770 71.832680 	lh.supramarginal
18.433970 76.023730 50.281760 	lh.middletemporal
3.123910 77.184250 55.028830 	lh.superiortemporal
3.604480 77.446820 51.979110 	lh.superiortemporal
5.517930 77.243480 49.963850 	lh.superiortemporal
15.834390 75.992240 51.153630 	lh.bankssts
14.457830 76.395920 50.910600 	lh.bankssts
18.676850 73.696610 30.019910 	lh.inferiortemporal
11.334880 77.734100 17.852260 	lh.inferiortemporal
1.982060 75.805400 29.986520 	lh.middletemporal
5.169020 75.883160 28.962440 	lh.middletemporal
